prname,date,reporting_week,reporting_year,totalcases,numtotal_last7,numdeaths,numdeaths_last7,numtotal_last14,numdeaths_last14
Canada,23/04/2022,16,2022,3717253,57971,39284,484,128616,905
British Columbia,30/04/2022,17,2022,365577,2275,3226,79,4543,149
Alberta,30/04/2022,17,2022,568708,5798,4315,63,12443,126
Saskatchewan,30/04/2022,17,2022,136667,741,1324,14,1568,29
Manitoba,30/04/2022,17,2022,141973,1042,1819,27,2508,45
Ontario,30/04/2022,17,2022,1258137,20077,12825,97,40563,196
Quebec,30/04/2022,17,2022,1045747,11478,15295,164,26936,341
Newfoundland and Labrador,30/04/2022,17,2022,44251,713,165,8,1675,21
New Brunswick,30/04/2022,17,2022,62148,1392,399,15,3380,21
Nova Scotia,30/04/2022,17,2022,89225,4101,330,23,9936,43
Prince Edward Island,30/04/2022,17,2022,34935,1409,26,1,3229,3
Yukon,30/04/2022,17,2022,4203,78,25,1,188,1
Northwest Territories,30/04/2022,17,2022,11348,105,22,0,212,1
Nunavut,30/04/2022,17,2022,3531,,7,,,
Repatriated travellers,30/04/2022,17,2022,13,0,0,0,0,0
Canada,30/04/2022,17,2022,3766463,49210,39777,493,107181,977
British Columbia,07/05/2022,18,2022,367559,1982,3307,81,4257,160
Alberta,07/05/2022,18,2022,573573,4865,4377,62,10663,125
Saskatchewan,07/05/2022,18,2022,137376,709,1343,19,1450,33
Manitoba,07/05/2022,18,2022,142875,902,1847,28,1944,55
Ontario,07/05/2022,18,2022,1272972,14835,12962,137,34912,234
Quebec,07/05/2022,18,2022,1054160,8413,15415,120,19891,284
Newfoundland and Labrador,07/05/2022,18,2022,44788,537,171,7,1250,15
New Brunswick,07/05/2022,18,2022,63486,1338,406,7,2730,22
Nova Scotia,07/05/2022,18,2022,92781,3556,349,19,7657,42
Prince Edward Island,07/05/2022,18,2022,35947,1012,29,4,2422,5
Yukon,07/05/2022,18,2022,4271,68,25,0,147,1
Northwest Territories,07/05/2022,18,2022,11411,63,22,0,168,0
Nunavut,07/05/2022,18,2022,3531,,7,,,
Repatriated travellers,07/05/2022,18,2022,13,0,0,0,0,0
Canada,07/05/2022,18,2022,3804743,38280,40261,484,87490,976
British Columbia,14/05/2022,19,2022,369202,1643,3398,91,3625,172
Alberta,14/05/2022,19,2022,577289,3716,4436,59,8581,121
Saskatchewan,14/05/2022,19,2022,137840,464,1364,21,1173,40
Manitoba,14/05/2022,19,2022,143603,728,1913,66,1630,94
Ontario,14/05/2022,19,2022,1284904,11932,13063,101,26767,238
Quebec,14/05/2022,19,2022,1060159,5999,15526,111,14412,231
Newfoundland and Labrador,14/05/2022,19,2022,45196,408,176,5,945,12
New Brunswick,14/05/2022,19,2022,64490,1004,411,5,2342,12
Nova Scotia,14/05/2022,19,2022,95802,3021,371,22,6577,41
Prince Edward Island,14/05/2022,19,2022,36785,838,33,3,1850,7
Yukon,14/05/2022,19,2022,4321,50,25,0,118,0
Northwest Territories,14/05/2022,19,2022,11426,15,22,0,78,0
Nunavut,14/05/2022,19,2022,3531,,7,,,
Repatriated travellers,14/05/2022,19,2022,13,0,0,0,0,0
Canada,14/05/2022,19,2022,3834561,29818,40745,484,68098,968
British Columbia,21/05/2022,20,2022,370559,1357,3469,71,3000,162
Alberta,21/05/2022,20,2022,580274,2985,4489,53,6701,112
Saskatchewan,21/05/2022,20,2022,138193,353,1376,12,817,33
Manitoba,21/05/2022,20,2022,144140,537,1928,15,1265,81
Ontario,21/05/2022,20,2022,1294447,9543,13159,96,21475,197
Quebec,21/05/2022,20,2022,1064271,4112,15585,59,10111,170
Newfoundland and Labrador,21/05/2022,20,2022,45573,377,179,3,785,8
New Brunswick,21/05/2022,20,2022,65258,768,416,5,1772,10
Nova Scotia,21/05/2022,20,2022,97938,2136,387,16,5157,38
Prince Edward Island,21/05/2022,20,2022,37383,599,33,0,1437,4
Yukon,21/05/2022,20,2022,4349,28,25,0,78,0
Northwest Territories,21/05/2022,20,2022,11433,7,22,0,22,0
Nunavut,21/05/2022,20,2022,3531,,7,,,
Repatriated travellers,21/05/2022,20,2022,13,0,0,0,0,0
Canada,21/05/2022,20,2022,3857362,22802,41075,330,52620,815
British Columbia,28/05/2022,21,2022,371720,1161,3547,78,2518,149
Alberta,28/05/2022,21,2022,582630,2356,4526,37,5341,90
Saskatchewan,28/05/2022,21,2022,138558,365,1386,10,718,22
Manitoba,28/05/2022,21,2022,144556,416,1980,52,953,67
Ontario,28/05/2022,21,2022,1301018,6571,13223,64,16114,160
Quebec,28/05/2022,21,2022,1068191,3920,15633,48,8032,107
Newfoundland and Labrador,28/05/2022,21,2022,45964,391,183,4,768,6
New Brunswick,28/05/2022,21,2022,65812,554,419,3,1322,8
Nova Scotia,28/05/2022,21,2022,99688,1751,397,10,3887,26
Prince Edward Island,28/05/2022,21,2022,37850,467,33,0,1065,0
Yukon,28/05/2022,21,2022,4381,32,26,1,59,1
Northwest Territories,28/05/2022,21,2022,11466,33,22,0,40,0
Nunavut,28/05/2022,21,2022,3531,,7,,,
Repatriated travellers,28/05/2022,21,2022,13,0,0,0,0,0
Canada,28/05/2022,21,2022,3875378,18016,41382,307,40817,637
British Columbia,04/06/2022,22,2022,372611,891,3614,67,2052,145
Alberta,04/06/2022,22,2022,584543,1913,4563,37,4269,74
Saskatchewan,04/06/2022,22,2022,138830,272,1396,10,637,20
Manitoba,04/06/2022,22,2022,144895,339,2004,24,755,76
Ontario,04/06/2022,22,2022,1306890,5872,13285,62,12443,126
Quebec,04/06/2022,22,2022,1072379,4188,15669,36,8108,84
Newfoundland and Labrador,04/06/2022,22,2022,46424,460,185,2,851,6
New Brunswick,04/06/2022,22,2022,66345,533,421,2,1087,5
Nova Scotia,04/06/2022,22,2022,101330,1642,415,18,3393,28
Prince Edward Island,04/06/2022,22,2022,38415,565,34,1,1032,1
Yukon,04/06/2022,22,2022,4399,18,26,0,50,1
Northwest Territories,04/06/2022,22,2022,11495,29,22,0,62,0
Nunavut,04/06/2022,22,2022,3531,,7,,,
Repatriated travellers,04/06/2022,22,2022,13,0,0,0,0,0
Canada,04/06/2022,22,2022,3892101,16723,41641,259,34738,566
British Columbia,11/06/2022,23,2022,373336,725,3682,68,1616,135
Alberta,11/06/2022,23,2022,586086,1543,4580,17,3456,54
Saskatchewan,11/06/2022,23,2022,139224,394,1412,16,666,26
Manitoba,11/06/2022,23,2022,145123,228,2015,11,567,35
Ontario,11/06/2022,23,2022,1312185,5295,13336,51,11167,113
Quebec,11/06/2022,23,2022,1077086,4707,15695,26,8895,62
Newfoundland and Labrador,11/06/2022,23,2022,46891,467,188,3,927,5
New Brunswick,11/06/2022,23,2022,66816,471,422,1,1004,3
Nova Scotia,11/06/2022,23,2022,103258,1928,428,13,3570,31
Prince Edward Island,11/06/2022,23,2022,39081,666,40,6,1231,7
Yukon,11/06/2022,23,2022,4412,13,26,0,31,0
Northwest Territories,11/06/2022,23,2022,11508,13,22,0,42,0
Nunavut,11/06/2022,23,2022,3531,,7,,,
Repatriated travellers,11/06/2022,23,2022,13,0,0,0,0,0
Canada,11/06/2022,23,2022,3908551,16450,41854,212,33172,471
British Columbia,18/06/2022,24,2022,373974,638,3722,40,1363,108
Alberta,18/06/2022,24,2022,587269,1183,4593,13,2726,30
Saskatchewan,18/06/2022,24,2022,139453,229,1424,12,623,28
Manitoba,18/06/2022,24,2022,145326,203,2025,10,431,21
Ontario,18/06/2022,24,2022,1316767,4582,13358,22,9877,73
Quebec,18/06/2022,24,2022,1082632,5546,15724,29,10253,55
Newfoundland and Labrador,18/06/2022,24,2022,47353,462,191,3,929,6
New Brunswick,18/06/2022,24,2022,67241,425,422,0,896,1
Nova Scotia,18/06/2022,24,2022,104971,1713,436,8,3641,21
Prince Edward Island,18/06/2022,24,2022,39732,651,45,4,1317,10
Yukon,18/06/2022,24,2022,4432,20,26,0,33,0
Northwest Territories,18/06/2022,24,2022,11511,,22,,,
Nunavut,18/06/2022,24,2022,3531,,7,,,
Repatriated travellers,18/06/2022,24,2022,13,0,0,0,0,0
Canada,18/06/2022,24,2022,3924206,15652,41994,141,32102,353
British Columbia,25/06/2022,25,2022,374594,620,3747,25,1258,65
Alberta,25/06/2022,25,2022,588185,916,4614,21,2099,34
Saskatchewan,25/06/2022,25,2022,139661,208,1427,3,437,15
Manitoba,25/06/2022,25,2022,145498,172,2043,18,375,28
Ontario,25/06/2022,25,2022,1321827,5060,13388,30,9642,52
Quebec,25/06/2022,25,2022,1089717,7085,15754,30,12631,59
Newfoundland and Labrador,25/06/2022,25,2022,47773,420,193,2,882,5
New Brunswick,25/06/2022,25,2022,67725,484,425,3,909,3
Nova Scotia,25/06/2022,25,2022,106633,1661,441,5,3374,13
Prince Edward Island,25/06/2022,25,2022,40460,728,45,0,1379,5
Yukon,25/06/2022,25,2022,4456,24,26,0,45,0
Northwest Territories,25/06/2022,25,2022,11511,,22,,,
Nunavut,25/06/2022,25,2022,3531,,7,,,
Repatriated travellers,25/06/2022,25,2022,13,0,0,0,0,0
Canada,25/06/2022,25,2022,3941584,17378,42132,137,33031,278
British Columbia,02/07/2022,26,2022,375357,763,3788,41,1383,66
Alberta,02/07/2022,26,2022,589223,1038,4625,11,1954,32
Saskatchewan,02/07/2022,26,2022,139871,210,1431,4,418,7
Manitoba,02/07/2022,26,2022,145623,125,2047,4,297,22
Ontario,02/07/2022,26,2022,1328710,6883,13431,43,11943,73
Quebec,02/07/2022,26,2022,1099712,9995,15803,49,17080,79
Newfoundland and Labrador,02/07/2022,26,2022,48179,406,194,1,826,3
New Brunswick,02/07/2022,26,2022,68493,768,429,4,1252,7
Nova Scotia,02/07/2022,26,2022,108366,1734,448,8,3395,12
Prince Edward Island,02/07/2022,26,2022,41417,958,45,0,1686,0
Yukon,02/07/2022,26,2022,4482,26,26,0,50,0
Northwest Territories,02/07/2022,26,2022,11511,,22,,,
Nunavut,02/07/2022,26,2022,3531,,7,,,
Repatriated travellers,02/07/2022,26,2022,13,0,0,0,0,0
Canada,02/07/2022,26,2022,3964489,22905,42296,165,40283,302
British Columbia,09/07/2022,27,2022,376329,972,3823,35,1735,76
Alberta,09/07/2022,27,2022,590563,1340,4643,18,2378,29
Saskatchewan,09/07/2022,27,2022,140080,209,1434,3,419,7
Manitoba,09/07/2022,27,2022,145853,230,2053,6,355,10
Ontario,09/07/2022,27,2022,1336949,8239,13469,38,15122,81
Quebec,09/07/2022,27,2022,1111407,11695,15869,66,21690,115
Newfoundland and Labrador,09/07/2022,27,2022,48593,414,196,2,820,3
New Brunswick,09/07/2022,27,2022,69537,1044,433,4,1812,8
Nova Scotia,09/07/2022,27,2022,109982,1615,455,6,3349,14
Prince Edward Island,09/07/2022,27,2022,42602,1184,46,1,2142,1
Yukon,09/07/2022,27,2022,4510,28,26,0,53,0
Northwest Territories,09/07/2022,27,2022,11511,,22,,,
Nunavut,09/07/2022,27,2022,3531,,7,,,
Repatriated travellers,09/07/2022,27,2022,13,0,0,0,0,0
Canada,09/07/2022,27,2022,3991459,26970,42475,178,49875,343
British Columbia,16/07/2022,28,2022,377372,1043,3855,32,2015,67
Alberta,16/07/2022,28,2022,592069,1506,4656,13,2846,31
Saskatchewan,16/07/2022,28,2022,140289,209,1438,4,418,7
Manitoba,16/07/2022,28,2022,146024,171,2056,3,401,9
Ontario,16/07/2022,28,2022,1347728,10779,13506,37,19018,75
Quebec,16/07/2022,28,2022,1124652,13245,15985,116,24940,182
Newfoundland and Labrador,16/07/2022,28,2022,48954,361,200,4,775,6
New Brunswick,16/07/2022,28,2022,70541,1004,438,5,2048,9
Nova Scotia,16/07/2022,28,2022,111769,1787,461,6,3402,13
Prince Edward Island,16/07/2022,28,2022,44121,1519,48,2,2703,3
Yukon,16/07/2022,28,2022,4566,57,26,0,84,0
Northwest Territories,16/07/2022,28,2022,11511,,22,,,
Nunavut,16/07/2022,28,2022,3531,,7,,,
Repatriated travellers,16/07/2022,28,2022,13,0,0,0,0,0
Canada,16/07/2022,28,2022,4023140,31681,42697,223,58651,401
British Columbia,23/07/2022,29,2022,378291,919,3908,53,1962,85
Alberta,23/07/2022,29,2022,593859,1790,4670,14,3296,27
Saskatchewan,23/07/2022,29,2022,140670,381,1448,10,590,14
Manitoba,23/07/2022,29,2022,146266,242,2061,5,413,8
Ontario,23/07/2022,29,2022,1360028,12300,13579,73,23079,110
Quebec,23/07/2022,29,2022,1137525,12873,16105,120,26118,236
Newfoundland and Labrador,23/07/2022,29,2022,49412,458,203,4,819,8
New Brunswick,23/07/2022,29,2022,71479,938,443,5,1942,10
Nova Scotia,23/07/2022,29,2022,113669,1901,467,6,3688,12
Prince Edward Island,23/07/2022,29,2022,45645,1524,49,1,3043,3
Yukon,23/07/2022,29,2022,4603,36,26,0,93,0
Northwest Territories,23/07/2022,29,2022,11511,,22,,,
Nunavut,23/07/2022,29,2022,3531,,7,,,
Repatriated travellers,23/07/2022,29,2022,13,0,0,0,0,0
Canada,23/07/2022,29,2022,4056502,33362,42988,290,65043,513
British Columbia,30/07/2022,30,2022,379274,983,3940,32,1902,85
Alberta,30/07/2022,30,2022,595530,1671,4691,21,3461,35
Saskatchewan,30/07/2022,30,2022,141051,381,1459,11,762,21
Manitoba,30/07/2022,30,2022,146524,258,2067,6,500,11
Ontario,30/07/2022,30,2022,1371369,11341,13656,77,23641,150
Quebec,30/07/2022,30,2022,1147762,10237,16203,98,23110,218
Newfoundland and Labrador,30/07/2022,30,2022,49748,336,207,3,794,7
New Brunswick,30/07/2022,30,2022,72226,747,447,4,1685,9
Nova Scotia,30/07/2022,30,2022,115417,1748,468,1,3648,7
Prince Edward Island,30/07/2022,30,2022,46818,1173,49,0,2697,1
Yukon,30/07/2022,30,2022,4682,79,26,0,115,0
Northwest Territories,30/07/2022,30,2022,11511,,22,,,
Nunavut,30/07/2022,30,2022,3531,,7,,,
Repatriated travellers,30/07/2022,30,2022,13,0,0,0,0,0
Canada,30/07/2022,30,2022,4085456,28953,43242,254,62316,544
British Columbia,06/08/2022,31,2022,380174,900,3995,55,1883,87
Alberta,06/08/2022,31,2022,597240,1710,4722,31,3381,52
Saskatchewan,06/08/2022,31,2022,141432,381,1469,10,762,21
Manitoba,06/08/2022,31,2022,146874,350,2079,12,608,18
Ontario,06/08/2022,31,2022,1381780,10411,13748,92,21752,169
Quebec,06/08/2022,31,2022,1155831,8069,16297,94,18306,192
Newfoundland and Labrador,06/08/2022,31,2022,50091,343,212,6,679,9
New Brunswick,06/08/2022,31,2022,72968,742,451,4,1489,8
Nova Scotia,06/08/2022,31,2022,117142,1724,472,4,3472,5
Prince Edward Island,06/08/2022,31,2022,47694,877,51,2,2049,2
Yukon,06/08/2022,31,2022,4738,56,29,3,135,3
Northwest Territories,06/08/2022,31,2022,11511,,22,,,
Nunavut,06/08/2022,31,2022,3531,,7,,,
Repatriated travellers,06/08/2022,31,2022,13,0,0,0,0,0
Canada,06/08/2022,31,2022,4111019,25563,43554,312,54517,566
British Columbia,13/08/2022,32,2022,381049,875,4037,42,1775,97
Alberta,13/08/2022,32,2022,598977,1737,4741,19,3447,50
Saskatchewan,13/08/2022,32,2022,141815,383,1479,10,764,20
Manitoba,13/08/2022,32,2022,147329,455,2093,14,805,26
Ontario,13/08/2022,32,2022,1392435,10655,13829,81,21066,173
Quebec,13/08/2022,32,2022,1163089,7258,16389,92,15327,186
Newfoundland and Labrador,13/08/2022,32,2022,50430,339,219,6,682,12
New Brunswick,13/08/2022,32,2022,73643,675,456,5,1417,9
Nova Scotia,13/08/2022,32,2022,118671,1530,481,9,3254,13
Prince Edward Island,13/08/2022,32,2022,48353,659,52,1,1536,3
Yukon,13/08/2022,32,2022,4771,33,30,1,89,4
Northwest Territories,13/08/2022,32,2022,11511,,22,,,
Nunavut,13/08/2022,32,2022,3531,,7,,,
Repatriated travellers,13/08/2022,32,2022,13,0,0,0,0,0
Canada,13/08/2022,32,2022,4135618,24598,43835,281,50162,593
British Columbia,20/08/2022,33,2022,381788,739,4097,60,1614,102
Alberta,20/08/2022,33,2022,600518,1541,4776,35,3278,54
Saskatchewan,20/08/2022,33,2022,142298,483,1491,12,866,22
Manitoba,20/08/2022,33,2022,147806,477,2105,12,932,26
Ontario,20/08/2022,33,2022,1402243,9808,13897,68,20463,149
Quebec,20/08/2022,33,2022,1169964,6875,16487,98,14133,190
Newfoundland and Labrador,20/08/2022,33,2022,50810,380,223,4,719,10
New Brunswick,20/08/2022,33,2022,74440,797,462,6,1472,11
Nova Scotia,20/08/2022,33,2022,120055,1384,490,9,2914,18
Prince Edward Island,20/08/2022,33,2022,49063,709,53,1,1368,2
Yukon,20/08/2022,33,2022,4798,27,30,0,60,1
Northwest Territories,20/08/2022,33,2022,11511,,22,,,
Nunavut,20/08/2022,33,2022,3531,,7,,,
Repatriated travellers,20/08/2022,33,2022,13,0,0,0,0,0
Canada,20/08/2022,33,2022,4158838,23221,44139,304,47819,585
British Columbia,27/08/2022,34,2022,382436,648,4145,48,1387,108
Alberta,27/08/2022,34,2022,601926,1408,4803,27,2949,62
Saskatchewan,27/08/2022,34,2022,142781,483,1503,12,966,24
Manitoba,27/08/2022,34,2022,148428,622,2115,10,1099,22
Ontario,27/08/2022,34,2022,1411638,9395,13986,89,19203,157
Quebec,27/08/2022,34,2022,1175591,5627,16576,89,12502,187
Newfoundland and Labrador,27/08/2022,34,2022,51111,301,227,4,681,8
New Brunswick,27/08/2022,34,2022,75152,712,466,4,1509,10
Nova Scotia,27/08/2022,34,2022,121380,1324,496,6,2709,15
Prince Edward Island,27/08/2022,34,2022,49834,771,54,2,1481,2
Yukon,27/08/2022,34,2022,4817,19,30,0,46,0
Northwest Territories,27/08/2022,34,2022,11511,,22,,,
Nunavut,27/08/2022,34,2022,3531,,7,,,
Repatriated travellers,27/08/2022,34,2022,13,0,0,0,0,0
Canada,27/08/2022,34,2022,4180149,21311,44429,290,44531,595
British Columbia,03/09/2022,35,2022,383054,618,4183,38,1266,86
Alberta,03/09/2022,35,2022,603066,1140,4840,37,2548,64
Saskatchewan,03/09/2022,35,2022,143264,483,1515,12,966,24
Manitoba,03/09/2022,35,2022,148903,475,2118,3,1097,13
Ontario,03/09/2022,35,2022,1420322,8684,14081,95,18079,184
Quebec,03/09/2022,35,2022,1180630,5039,16637,61,10666,150
Newfoundland and Labrador,03/09/2022,35,2022,51329,218,231,4,519,8
New Brunswick,03/09/2022,35,2022,75741,589,472,6,1301,10
Nova Scotia,03/09/2022,35,2022,122458,1079,504,9,2403,14
Prince Edward Island,03/09/2022,35,2022,50404,570,56,2,1342,4
Yukon,03/09/2022,35,2022,4839,22,30,0,41,0
Northwest Territories,03/09/2022,35,2022,11511,,22,,,
Nunavut,03/09/2022,35,2022,3531,,7,,,
Repatriated travellers,03/09/2022,35,2022,13,0,0,0,0,0
Canada,03/09/2022,35,2022,4199066,18917,44696,267,40227,557
British Columbia,10/09/2022,36,2022,383628,574,4216,33,1192,71
Alberta,10/09/2022,36,2022,604110,1044,4861,21,2184,58
Saskatchewan,10/09/2022,36,2022,143747,483,1527,12,966,24
Manitoba,10/09/2022,36,2022,149245,342,2137,19,817,22
Ontario,10/09/2022,36,2022,1427618,7296,14162,81,15980,176
Quebec,10/09/2022,36,2022,1185588,4958,16687,50,9997,111
Newfoundland and Labrador,10/09/2022,36,2022,51446,117,235,4,335,8
New Brunswick,10/09/2022,36,2022,76316,575,476,4,1164,10
Nova Scotia,10/09/2022,36,2022,123549,1091,518,14,2170,22
Prince Edward Island,10/09/2022,36,2022,50855,450,57,1,1021,3
Yukon,10/09/2022,36,2022,4859,20,30,0,41,0
Northwest Territories,10/09/2022,36,2022,11511,,22,,,
Nunavut,10/09/2022,36,2022,3531,,7,,,
Repatriated travellers,10/09/2022,36,2022,13,0,0,0,0,0
Canada,10/09/2022,36,2022,4216016,16950,44935,238,35867,505
British Columbia,17/09/2022,37,2022,384266,638,4253,37,1212,70
Alberta,17/09/2022,37,2022,605357,1247,4887,26,2291,47
Saskatchewan,17/09/2022,37,2022,144235,488,1543,16,971,28
Manitoba,17/09/2022,37,2022,149622,377,2143,6,719,25
Ontario,17/09/2022,37,2022,1435743,8125,14243,81,15421,162
Quebec,17/09/2022,37,2022,1190547,4959,16732,45,9917,95
Newfoundland and Labrador,17/09/2022,37,2022,51580,134,236,2,251,5
New Brunswick,17/09/2022,37,2022,76902,586,480,4,1161,8
Nova Scotia,17/09/2022,37,2022,124511,962,531,13,2053,26
Prince Edward Island,17/09/2022,37,2022,51256,401,59,2,852,3
Yukon,17/09/2022,37,2022,4867,8,31,1,28,1
Northwest Territories,17/09/2022,37,2022,11511,,22,,,
Nunavut,17/09/2022,37,2022,3531,,7,,,
Repatriated travellers,17/09/2022,37,2022,13,0,0,0,0,0
Canada,17/09/2022,37,2022,4233941,17925,45167,232,34875,470
British Columbia,24/09/2022,38,2022,384900,634,4283,30,1272,67
Alberta,24/09/2022,38,2022,606768,1411,4916,29,2658,55
Saskatchewan,24/09/2022,38,2022,144704,469,1550,7,957,23
Manitoba,24/09/2022,38,2022,149908,286,2160,17,663,23
Ontario,24/09/2022,38,2022,1444227,8484,14312,69,16609,150
Quebec,24/09/2022,38,2022,1196116,5569,16765,33,10528,78
Newfoundland and Labrador,24/09/2022,38,2022,51743,163,239,2,297,4
New Brunswick,24/09/2022,38,2022,77460,558,485,5,1144,9
Nova Scotia,24/09/2022,38,2022,125474,963,541,11,1925,23
Prince Edward Island,24/09/2022,38,2022,51604,348,60,1,749,3
Yukon,24/09/2022,38,2022,4891,24,31,0,32,1
Northwest Territories,24/09/2022,38,2022,11511,,22,,,
Nunavut,24/09/2022,38,2022,3531,,7,,,
Repatriated travellers,24/09/2022,38,2022,13,0,0,0,0,0
Canada,24/09/2022,38,2022,4252850,18909,45371,204,36834,436
British Columbia,01/10/2022,39,2022,385599,699,4321,38,1333,68
Alberta,01/10/2022,39,2022,608158,1390,4949,33,2801,62
Saskatchewan,01/10/2022,39,2022,145260,556,1565,15,1025,22
Manitoba,01/10/2022,39,2022,150213,305,2177,17,591,34
Ontario,01/10/2022,39,2022,1453370,9143,14369,57,17627,126
Quebec,01/10/2022,39,2022,1202182,6066,16817,52,11635,85
Newfoundland and Labrador,01/10/2022,39,2022,51955,212,243,4,375,6
New Brunswick,01/10/2022,39,2022,78056,596,490,5,1154,10
Nova Scotia,01/10/2022,39,2022,126598,1125,544,3,2088,13
Prince Edward Island,01/10/2022,39,2022,51919,316,61,1,664,2
Yukon,01/10/2022,39,2022,4908,18,31,0,41,0
Northwest Territories,01/10/2022,39,2022,11511,,22,,,
Nunavut,01/10/2022,39,2022,3531,,7,,,
Repatriated travellers,01/10/2022,39,2022,13,0,0,0,0,0
Canada,01/10/2022,39,2022,4273274,20425,45596,225,39333,429
British Columbia,08/10/2022,40,2022,386293,694,4370,49,1393,87
Alberta,08/10/2022,40,2022,609526,1368,4983,34,2758,67
Saskatchewan,08/10/2022,40,2022,145734,474,1586,21,1030,36
Manitoba,08/10/2022,40,2022,150554,341,2190,13,646,30
Ontario,08/10/2022,40,2022,1462015,8645,14457,88,17788,145
Quebec,08/10/2022,40,2022,1208535,6353,16877,60,12419,112
Newfoundland and Labrador,08/10/2022,40,2022,52111,156,246,4,368,8
New Brunswick,08/10/2022,40,2022,78687,631,493,3,1227,8
Nova Scotia,08/10/2022,40,2022,127608,1009,552,8,2134,11
Prince Edward Island,08/10/2022,40,2022,52229,310,63,1,626,3
Yukon,08/10/2022,40,2022,4923,15,31,0,32,0
Northwest Territories,08/10/2022,40,2022,11511,,22,,,
Nunavut,08/10/2022,40,2022,3531,,7,,,
Repatriated travellers,08/10/2022,40,2022,13,0,0,0,0,0
Canada,08/10/2022,40,2022,4293270,19996,45877,281,40421,506
British Columbia,15/10/2022,41,2022,386920,627,4423,53,1321,102
Alberta,15/10/2022,41,2022,610846,1320,5016,33,2688,67
Saskatchewan,15/10/2022,41,2022,146222,488,1599,13,962,34
Manitoba,15/10/2022,41,2022,150957,403,2199,9,744,22
Ontario,15/10/2022,41,2022,1471704,9689,14522,65,18334,153
Quebec,15/10/2022,41,2022,1215145,6610,16932,55,12963,115
Newfoundland and Labrador,15/10/2022,41,2022,52335,224,250,4,380,7
New Brunswick,15/10/2022,41,2022,79434,747,576,83,1378,86
Nova Scotia,15/10/2022,41,2022,128714,1106,567,15,2116,23
Prince Edward Island,15/10/2022,41,2022,52683,453,64,1,763,2
Yukon,15/10/2022,41,2022,4929,6,31,0,21,0
Northwest Territories,15/10/2022,41,2022,11511,,22,,,
Nunavut,15/10/2022,41,2022,3531,,7,,,
Repatriated travellers,15/10/2022,41,2022,13,0,0,0,0,0
Canada,15/10/2022,41,2022,4314944,21674,46208,331,41670,612
British Columbia,22/10/2022,42,2022,387451,531,4485,62,1158,115
Alberta,22/10/2022,42,2022,612254,1408,5056,40,2728,73
Saskatchewan,22/10/2022,42,2022,146888,666,1628,29,1154,42
Manitoba,22/10/2022,42,2022,151319,362,2211,12,765,21
Ontario,22/10/2022,42,2022,1482037,10333,14639,117,20022,182
Quebec,22/10/2022,42,2022,1221213,6068,17004,72,12678,127
Newfoundland and Labrador,22/10/2022,42,2022,52552,217,254,4,441,8
New Brunswick,22/10/2022,42,2022,80126,692,585,9,1439,92
Nova Scotia,22/10/2022,42,2022,129705,991,583,16,2098,32
Prince Edward Island,22/10/2022,42,2022,53199,516,66,2,970,3
Yukon,22/10/2022,42,2022,4941,11,31,0,18,0
Northwest Territories,22/10/2022,42,2022,11511,,22,,,
Nunavut,22/10/2022,42,2022,3531,,7,,,
Repatriated travellers,22/10/2022,42,2022,13,0,0,0,0,0
Canada,22/10/2022,42,2022,4336740,21796,46572,364,43470,695
British Columbia,29/10/2022,43,2022,387936,485,4525,40,1016,102
Alberta,29/10/2022,43,2022,613595,1341,5096,40,2749,80
Saskatchewan,29/10/2022,43,2022,147688,800,1648,20,1466,49
Manitoba,29/10/2022,43,2022,151730,411,2232,21,773,33
Ontario,29/10/2022,43,2022,1492399,10362,14765,126,20695,243
Quebec,29/10/2022,43,2022,1227195,5982,17084,80,12050,152
Newfoundland and Labrador,29/10/2022,43,2022,52802,250,257,3,467,7
New Brunswick,29/10/2022,43,2022,80715,589,592,7,1281,16
Nova Scotia,29/10/2022,43,2022,130534,828,598,15,1820,31
Prince Edward Island,29/10/2022,43,2022,53561,362,69,4,878,6
Yukon,29/10/2022,43,2022,4954,13,32,1,25,1
Northwest Territories,29/10/2022,43,2022,11511,,22,,,
Nunavut,29/10/2022,43,2022,3531,,7,,,
Repatriated travellers,29/10/2022,43,2022,13,0,0,0,0,0
Canada,29/10/2022,43,2022,4358164,21423,46927,355,43219,719
British Columbia,05/11/2022,44,2022,388497,561,4552,27,1046,67
Alberta,05/11/2022,44,2022,614992,1397,5132,36,2738,76
Saskatchewan,05/11/2022,44,2022,148288,600,1678,30,1400,50
Manitoba,05/11/2022,44,2022,152072,342,2256,24,753,45
Ontario,05/11/2022,44,2022,1500910,8511,14893,128,18873,254
Quebec,05/11/2022,44,2022,1232906,5711,17155,71,11693,151
Newfoundland and Labrador,05/11/2022,44,2022,52973,171,262,5,421,8
New Brunswick,05/11/2022,44,2022,81269,554,599,7,1143,14
Nova Scotia,05/11/2022,44,2022,131239,706,613,15,1534,29
Prince Edward Island,05/11/2022,44,2022,53797,236,72,3,598,6
Yukon,05/11/2022,44,2022,4974,20,32,0,33,1
Northwest Territories,05/11/2022,44,2022,11511,,22,,,
Nunavut,05/11/2022,44,2022,3531,,7,,,
Repatriated travellers,05/11/2022,44,2022,13,0,0,0,0,0
Canada,05/11/2022,44,2022,4376972,18809,47273,346,40232,701
British Columbia,12/11/2022,45,2022,388984,487,4607,55,1048,82
Alberta,12/11/2022,45,2022,616305,1313,5172,40,2710,76
